"text-xs","w-full href","rounded-lg src","max-w-[134px] href","text-sm","text-xs 2","text-lg","text-2xs","text-sm 2","whitespace-pre-wrap","whitespace-pre-wrap 2","text-xs 3","w-full href 2","rounded-lg src 2","max-w-[134px] href 2","text-sm 3","text-xs 4","text-lg 2","text-2xs 3","text-sm 4","whitespace-pre-wrap 3","whitespace-pre-wrap 4","text-xs 5","w-full href 3","rounded-lg src 3","max-w-[134px] href 3","text-sm 5","text-xs 6","text-lg 3","text-2xs 5","text-sm 6","whitespace-pre-wrap 5","text-xs 7","w-full href 4","rounded-lg src 4","max-w-[134px] href 4","text-sm 7","text-xs 8","text-lg 4","text-2xs 7","text-2xs 8","relative src 4","inline-flex src","text-xs 9","inline-flex src 2","w-auto src"
"12% OFF","https://www.carrefouruae.com/mafuae/en/whole-chicken/tanmiah-chicken-bag-1000g/p/2244484","https://cdn.mafrservices.com/pim-content/UAE/media/product/2244484/1749700804/2244484_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/whole-chicken/saha-fresh-chk-mixed-parts-1000g/p/1795210","Saha Fresh Chicken Mixed Parts 1000g","500g - Approx 2 pieces/KG","21",".49","AED 24.49","Tod. 12:00 PM","Tod. 12:00 PM","15% OFF","https://www.carrefouruae.com/mafuae/en/chicken-thigh/al-ajban-chicken-tigh-500g/p/1121083","https://cdn.mafrservices.com/sys-master-root/had/hbb/13559349936158/1121083_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/whole-chicken/tanmiah-chicken-bag-1000g/p/2244484","Tanmiah Fresh Chicken Bag, 1000g","AED 21.58 per Kilo","21",".29","AED 24.99","Tod. 12:00 PM","Tod. 12:00 PM","21% OFF","https://www.carrefouruae.com/mafuae/en/whole-chicken/saha-fresh-chk-mixed-parts-1000g/p/1795210","https://cdn.mafrservices.com/sys-master-root/h0e/h8d/16506427605022/1795210_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/australian-lamb/aus-lamb-kofta-dc-/p/2258151","Australian Lamb Kofta Import","","31",".50","AED 40.00","","","https://www.carrefouruae.com/mafuae/en/australian-lamb/aus-lamb-kofta-dc-/p/2258151","https://cdn.mafrservices.com/pim-content/UAE/media/product/2258151/1776070800/2258151_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken-thigh/al-ajban-chicken-tigh-500g/p/1121083","Al Ajban Chicken Tigh 500g","","10",".79","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","","","",""
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/chicken/uae-chicken-liver-tr-/p/1593964","Fresh Chicken Livers (UAE)","500g - Approx 20 pieces/KG","10",".70","AED 20.99","Tod. 12:00 PM","Tod. 12:00 PM","8% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-ain-14-mixed-parts-850g/p/2123877","Al Ain Chilled 14 Chicken Mixed Parts 850g","AED 22.69 per Kilo","19",".29","AED 57.49","Tod. 12:00 PM","Tod. 12:00 PM","10% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-breast/al-ajban-chicken-filet-1000g/p/1121093","Al Ajban Chicken Fillet 1kg","AED 22.54 per Kilo","51",".49","AED 25.79","","21% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/tanmiah-de-skinned-8-cut-900g/p/2244491","Tanmiah Skinless 8 Cut Fresh Whole Chicken, 900g","","20",".29","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png",""
"30% OFF","","","https://www.carrefouruae.com/mafuae/en/angus/aus-angus-beef-mince-meat-dc-/p/1025564","Australian Angus Beef Mince","500g - Approx 30 pieces/KG","40",".00","AED 45.00","Tod. 12:00 PM","Tod. 12:00 PM","13% OFF","","","https://www.carrefouruae.com/mafuae/en/australian-beef/aus-beef-stroganoff-dc-/p/264677","Australian Stroganoff Beef","500g - Approx 5 pieces/KG","37",".50","AED 23.99","Tod. 12:00 PM","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/australian-lamb/aus-lamb-sausages-merguez-dc-/p/2258632","Australian Lamb Sausage Merguez Import","500g - Approx 2 pieces/KG","31",".50","","","","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/saha-fresh-whole-chicken-1000g/p/1795235","Saha Fresh Whole Chicken 1kg","","20",".79","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","","","",""
"10% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-breast/al-ain-breast-fillet-900g/p/2123879","Al Ain Farms Chilled Chicken Breast Fillet 900g","AED 50.88 per Kilo","44",".99","AED 23.29","Tod. 12:00 PM","Tod. 12:00 PM","11% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-leg/tanmiah-legs-30-extra-900g/p/2244493","Tanmiah Fresh Chicken Legs, 900g","AED 23.32 per Kilo","20",".99","AED 25.49","Tod. 12:00 PM","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/chicken-thigh/al-rawdah-chicken-thigs-b-less-500g/p/12509","Al Rawdah Boneless Skinless Fresh Chicken Thighs 500g","AED 45.58 per Kilo","22",".79","AED 9.99","","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/poultry-offals/al-khazna-chicken-liver-500g/p/331555","Al Khazna, Chicken, Fresh Chicken Liver, 500g","AED 18.58 per Kilo","9",".29","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","7% OFF","",""
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-ain-chicken-fresh-1-1kg/p/268587","Al Ain Fresh Chicken 1.1kg","AED 22.08 per Kilo","24",".29","AED 25.99","Tod. 12:00 PM","Tod. 12:00 PM","22% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/alyoum-fresh-chicken-1000g/p/1090738","Alyoum Fresh Chicken 1kg","500g - Approx 2000 pieces/KG","23",".79","AED 17.29","Tod. 12:00 PM","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/african-other-lamb/sa-dorper-lamb-kofta-dc-/p/2288974","South African Dorper Lamb Kofta Import","AED 29.98 per Kilo","27",".50","","","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/tanmiah-fresh-minced-450g/p/2280447","Tanmiah Fresh Minced Chicken, 450g","","13",".49","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","7% OFF","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png",""
"BESTSELLER","","","https://www.carrefouruae.com/mafuae/en/minced-meat/nz-beef-mince-meat-dc-/p/909991","New Zealand Beef Mince","500g - Approx 2 pieces/KG","40",".00","AED 26.29","Tod. 12:00 PM","Tod. 12:00 PM","13% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-khazna-whole-chicken-1000g/p/1898476","Al Khazna, Chicken, Fresh Whole Chicken Pack, 1 kg","AED 33.58 per Kilo","22",".79","AED 27.79","Tod. 12:00 PM","Tod. 12:00 PM","23% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-leg/al-ain-chicken-drumstick-500g/p/365801","Al Ain Fresh Chicken Drumstick 500g","AED 25.28 per Kilo","16",".79","","","","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-ajban-8pcs-cut-sl-chicken-850g/p/1216466","Al Ajban 8 Skinless Chicken Cuts 850g","","21",".49","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","","","",""
"18% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/saha-fresh-wh-chicken-sp-tray-1000g/p/1795243","Saha Fresh Whole Chicken 1kg","AED 36.23 per Kilo","21",".49","AED 26.29","Tod. 12:00 PM","Only 2 left","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/chicken-leg/saha-chk-skinless-drumsticks-400g/p/1795220","Saha Fresh Skinless Drumstick 400g","500g - Approx 2000 pieces/KG","14",".49","AED 17.99","Tod. 12:00 PM","Tod. 12:00 PM","9% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-leg/al-khazna-whole-legs-1kg/p/331529","Al Khazna, Chicken, Fresh Whole Chicken Legs, 1 kg","","29",".99","AED 32.79","Tod. 12:00 PM","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/african-other-lamb/sa-dorper-lamb-merguez-dc-/p/2288953","South African Dorper Lamb Merguez Import","","27",".50","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","19% OFF","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png",""
"7% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-leg/tanmiah-drmstck-30-extr900g/p/2244476","Tanmiah Fresh Chicken Drumsticks, 900g","AED 24.77 per Kilo","22",".29","AED 23.99","Tod. 12:00 PM","Tod. 12:00 PM","16% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/tanmiah-chicken-bag-800g/p/2244473","Tanmiah Fresh Chicken Bag, 800g","AED 21.61 per Kilo","17",".29","AED 20.49","Tod. 12:00 PM","Only 4 left","","","","https://www.carrefouruae.com/mafuae/en/african-other-lamb/sa-dorper-lamb-carcass-di/p/2288425","South African Dorper Lamb Carcass Import","20KG","979",".80","","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/australian-beef/aus-beef-striploin-steak-dc-/p/264648","Australian Beef Striploin Steak","400g - Approx 5 pieces/KG","47",".60","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","","","","https://cdnprod.mafretailproxy.com/assets/images/tabby_badge_8e0427eefe.svg"
"30% OFF","","","https://www.carrefouruae.com/mafuae/en/australian-lamb/aus-lamb-sausage-toulouse-dc-/p/2288987","Australian Lamb Toulouse Import","500g - Approx 2000 pieces/KG","31",".50","AED 45.00","Tod. 12:00 PM","Tod. 12:00 PM","15% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/tanmiah-chicken-bag-900g/p/2244470","Tanmiah Fresh Chicken Bag, 900g","AED 20.85 per Kilo","19",".29","AED 22.79","Tod. 12:00 PM","Tod. 12:00 PM","10% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/saha-fresh-chicken-mixed-parts-900g/p/1795209","Saha Fresh Chicken Mixed Parts 900g","AED 22.21 per Kilo","19",".99","AED 22.29","","13% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-leg/al-ain-chicken-whole-leg-500g/p/365808","Al Ain Fresh Chicken Whole Leg 500g","AED 30.58 per Kilo","15",".29","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","","","",""
"5% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-leg/al-khazna-drumstick-1kg/p/331532","Al Khazna, Chicken, Fresh Chicken Drumsticks, 1 kg","AED 20.99 per Kilo","30",".99","AED 32.79","Tod. 12:00 PM","Tod. 12:00 PM","23% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-ajban-4-pcs-cut-chicken-1kg/p/1216463","Al Ajban 4 Chicken Cuts 1kg","AED 28.49 per Kilo","21",".49","AED 27.79","Tod. 12:00 PM","Tod. 12:00 PM","14% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/saha-fresh-whole-chicken-800g/p/1795233","Saha Fresh Whole Chicken 800g","","16",".79","AED 19.49","","","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-ain-10-mixed-parts-800g/p/2123878","Al Ain Chilled 10 Chicken Mixed Parts 800g","","21",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","","","",""
"9% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-thigh/tanmiah-thighs-30-extra-900g/p/2244481","Tanmiah Fresh Chicken Thighs, 900g","AED 23.66 per Kilo","21",".29","AED 23.29","Tod. 12:00 PM","Tod. 12:00 PM","7% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-rawdah-chicken-fresh-1-1kg/p/154009","Al Rawdah Fresh Chicken 1.1kg","AED 21.81 per Kilo","23",".99","AED 25.79","Tod. 12:00 PM","Tod. 12:00 PM","14% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-khazna-whole-chicken-900g/p/1898475","Al Khazna, Chicken, Fresh Whole Chicken Packs, 900g","AED 22.77 per Kilo","20",".49","AED 23.79","","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/chicken-thigh/al-khazna-thighs-1kg/p/331535","Al Khazna, Chicken, Fresh Chicken Thighs, 1 kg","","29",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","9% OFF","",""
"10% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-leg/al-rawdah-chicken-legs-500g/p/12488","Al Rawdah Chicken Legs 500g","AED 31.98 per Kilo","15",".99","AED 17.79","Tod. 12:00 PM","Tod. 12:00 PM","Limited Time Offer","","","https://www.carrefouruae.com/mafuae/en/locally-slaughtered-lamb/local-nuaimi-lamb-carcass-dc-tr-/p/2250000","Nuaimi Lamb Carcass","18KG - Approx 1 piece/KG","1,619",".82","AED 25.79","Tod. 12:00 PM","Tod. 12:00 PM","19% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-ajban-mixed-chicken-parts-1000g/p/1121096","Al Ajban Chicken Mixed Parts 1kg","AED 21.43 per Kilo","21",".49","AED 23.79","","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/saha-fresh-wh-chicken-spl-tray-900g/p/1795242","Saha Fresh Whole Chicken 900g","","19",".29","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","17% OFF","","https://cdnprod.mafretailproxy.com/assets/images/tabby_badge_8e0427eefe.svg"
"17% OFF","","","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-cube-low-fat-dc-/p/740098","Brazilian Low-Fat Beef Cubes","500g - Approx 15 pieces/KG","26",".50","AED 14.99","Tod. 12:00 PM","Tod. 12:00 PM","17% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-thigh/al-ain-chicken-thigh-500g/p/365804","Al Ain Fresh Chicken Thigh 500g","AED 24.98 per Kilo","12",".49","AED 18.49","Tod. 12:00 PM","Tod. 12:00 PM","13% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-thigh/al-rawdah-chicken-thighs-500g/p/12439","Al Rawdah Chicken Thighs 500g","AED 30.58 per Kilo","15",".29","AED 28.79","","","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-khazna-whole-chicken-1100g/p/1898477","Al Khazna, Chicken, Fresh Whole Chicken Pack, 1.1 kg","AED 22.72 per Kilo","24",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","","","",""
"23% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-ajban-4-pcs-cut-sl-chicken-950g/p/1216464","Al Ajban 4 Skinless Chicken Cuts 950g","AED 23.67 per Kilo","22",".49","AED 29.29","Tod. 12:00 PM","Tod. 12:00 PM","13% OFF","","","https://www.carrefouruae.com/mafuae/en/australian-beef/aus-beef-picania-dc-/p/1169800","Australian Beef Picania","500g - Approx 5 pieces/KG","45",".00","AED 26.29","Tod. 12:00 PM","Tod. 12:00 PM","12% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/saha-fresh-whole-chicken-1100g/p/1795236","Saha Fresh Whole Chicken 1.1kg","AED 20.90 per Kilo","22",".99","AED 28.49","","","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/saha-fresh-whole-chicken-1200g/p/1795247","Saha Fresh Whole Chicken 1.2kg","","24",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","","","",""
"17% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-thigh/tanmiah-thighs-boneless-skinless/p/2280451","Tanmiah Fresh Boneless Skinless Chicken Thighs, 450g","AED 31.98 per Kilo","19",".29","AED 23.29","Tod. 12:00 PM","Tod. 12:00 PM","10% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-leg/al-rawdah-chicken-drumstick-500g/p/12435","Al Rawdah Fresh Chicken Drumstick 500g","AED 34.98 per Kilo","15",".99","AED 17.79","Tod. 12:00 PM","Tod. 12:00 PM","BESTSELLER","","","https://www.carrefouruae.com/mafuae/en/chicken-leg/al-rwadah-whole-legs-skinless-400g/p/1683906","Al Rawdah Skinless Whole Legs 400g","500g - Approx 30 pieces/KG","13",".99","AED 15.29","","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/minced-meat/nz-beef-mince-meat-low-fat-dc-/p/909994","New Zealand Low-Fat Beef Mince","","49",".00","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","9% OFF","",""
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/asian-veal/pak-veal-carcass-cubes-b-les-di-/p/2250157","Pakistan Veal Cubes Boneless","500g - Approx 2 pieces/KG","20",".00","AED 26.29","Tod. 12:00 PM","Tod. 12:00 PM","13% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken/uae-chicken-whole-0-9-kg-/p/1593949","Fresh Whole Chicken 900g (UAE)","900g - Pack size 900g","18",".80","AED 20.49","Tod. 12:00 PM","Tod. 12:00 PM","27% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/tanmiah-chicken-tray-1000g/p/2244477","Tanmiah Fresh Chicken Tray, 1000g","","22",".79","","","Extra 10% off, code - FOOD10","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/tanmiah-chicken-mix-portion/p/2280445","Tanmiah Fresh Chicken Mixed Portions, 800g","","14",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png",""
"LOW PRICES","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-ain-14-mixed-parts-850g/p/2123877","https://cdn.mafrservices.com/pim-content/UAE/media/product/2123877/1730315403/2123877_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken/uae-chicken-liver-tr-/p/1593964","Fresh Chicken Livers (UAE)","500g - Approx 20 pieces/KG","10",".70","AED 20.99","Tod. 12:00 PM","Tod. 12:00 PM","8% OFF","https://www.carrefouruae.com/mafuae/en/whole-chicken/tanmiah-de-skinned-8-cut-900g/p/2244491","https://cdn.mafrservices.com/pim-content/UAE/media/product/2244491/1749700804/2244491_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-ain-14-mixed-parts-850g/p/2123877","Al Ain Chilled 14 Chicken Mixed Parts 850g","AED 22.69 per Kilo","19",".29","AED 57.49","Tod. 12:00 PM","Tod. 12:00 PM","10% OFF","https://www.carrefouruae.com/mafuae/en/chicken/uae-chicken-liver-tr-/p/1593964","https://cdn.mafrservices.com/pim-content/UAE/media/product/1593964/1755687618/1593964_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken-breast/al-ajban-chicken-filet-1000g/p/1121093","Al Ajban Chicken Fillet 1kg","AED 22.54 per Kilo","51",".49","AED 25.79","","21% OFF","https://www.carrefouruae.com/mafuae/en/chicken-breast/al-ajban-chicken-filet-1000g/p/1121093","https://cdn.mafrservices.com/sys-master-root/he3/h49/13625493094430/1121093_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/whole-chicken/tanmiah-de-skinned-8-cut-900g/p/2244491","Tanmiah Skinless 8 Cut Fresh Whole Chicken, 900g","","20",".29","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png",""
"30% OFF","https://www.carrefouruae.com/mafuae/en/whole-chicken/saha-fresh-whole-chicken-1000g/p/1795235","https://cdn.mafrservices.com/sys-master-root/h1f/h87/14113206337566/1795235_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/angus/aus-angus-beef-mince-meat-dc-/p/1025564","Australian Angus Beef Mince","500g - Approx 30 pieces/KG","40",".00","AED 45.00","Tod. 12:00 PM","Tod. 12:00 PM","13% OFF","https://www.carrefouruae.com/mafuae/en/australian-lamb/aus-lamb-sausages-merguez-dc-/p/2258632","https://cdn.mafrservices.com/pim-content/UAE/media/product/2258632/1776070800/2258632_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/australian-beef/aus-beef-stroganoff-dc-/p/264677","Australian Stroganoff Beef","500g - Approx 5 pieces/KG","37",".50","AED 23.99","Tod. 12:00 PM","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/angus/aus-angus-beef-mince-meat-dc-/p/1025564","https://cdn.mafrservices.com/pim-content/UAE/media/product/1025564/1761130986/1025564_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/australian-lamb/aus-lamb-sausages-merguez-dc-/p/2258632","Australian Lamb Sausage Merguez Import","500g - Approx 2 pieces/KG","31",".50","","","","https://www.carrefouruae.com/mafuae/en/australian-beef/aus-beef-stroganoff-dc-/p/264677","https://cdn.mafrservices.com/pim-content/UAE/media/product/264677/1754037004/264677_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/whole-chicken/saha-fresh-whole-chicken-1000g/p/1795235","Saha Fresh Whole Chicken 1kg","","20",".79","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","","","",""
"10% OFF","https://www.carrefouruae.com/mafuae/en/chicken-leg/tanmiah-legs-30-extra-900g/p/2244493","https://cdn.mafrservices.com/pim-content/UAE/media/product/2244493/1749700804/2244493_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken-breast/al-ain-breast-fillet-900g/p/2123879","Al Ain Farms Chilled Chicken Breast Fillet 900g","AED 50.88 per Kilo","44",".99","AED 23.29","Tod. 12:00 PM","Tod. 12:00 PM","11% OFF","https://www.carrefouruae.com/mafuae/en/chicken-thigh/al-rawdah-chicken-thigs-b-less-500g/p/12509","https://cdn.mafrservices.com/sys-master-root/hb4/h5e/28546429288478/12509_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken-leg/tanmiah-legs-30-extra-900g/p/2244493","Tanmiah Fresh Chicken Legs, 900g","AED 23.32 per Kilo","20",".99","AED 25.49","Tod. 12:00 PM","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/chicken-breast/al-ain-breast-fillet-900g/p/2123879","https://cdn.mafrservices.com/pim-content/UAE/media/product/2123879/1734466203/2123879_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken-thigh/al-rawdah-chicken-thigs-b-less-500g/p/12509","Al Rawdah Boneless Skinless Fresh Chicken Thighs 500g","AED 45.58 per Kilo","22",".79","AED 9.99","","LOW PRICES","https://www.carrefouruae.com/mafuae/en/poultry-offals/al-khazna-chicken-liver-500g/p/331555","https://cdn.mafrservices.com/pim-content/UAE/media/product/331555/1756872603/331555_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/poultry-offals/al-khazna-chicken-liver-500g/p/331555","Al Khazna, Chicken, Fresh Chicken Liver, 500g","AED 18.58 per Kilo","9",".29","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","7% OFF","",""
"LOW PRICES","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-ain-chicken-fresh-1-1kg/p/268587","https://cdn.mafrservices.com/sys-master-root/h24/hc0/48116503445534/268587_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-ain-chicken-fresh-1-1kg/p/268587","Al Ain Fresh Chicken 1.1kg","AED 22.08 per Kilo","24",".29","AED 25.99","Tod. 12:00 PM","Tod. 12:00 PM","22% OFF","https://www.carrefouruae.com/mafuae/en/whole-chicken/tanmiah-fresh-minced-450g/p/2280447","https://cdn.mafrservices.com/pim-content/UAE/media/product/2280447/1769047800/2280447_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/whole-chicken/alyoum-fresh-chicken-1000g/p/1090738","Alyoum Fresh Chicken 1kg","500g - Approx 2000 pieces/KG","23",".79","AED 17.29","Tod. 12:00 PM","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/whole-chicken/alyoum-fresh-chicken-1000g/p/1090738","https://cdn.mafrservices.com/sys-master-root/hec/h41/45438960500766/1090738_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/african-other-lamb/sa-dorper-lamb-kofta-dc-/p/2288974","South African Dorper Lamb Kofta Import","AED 29.98 per Kilo","27",".50","","","LOW PRICES","https://www.carrefouruae.com/mafuae/en/african-other-lamb/sa-dorper-lamb-kofta-dc-/p/2288974","https://cdn.mafrservices.com/pim-content/UAE/media/product/2288974/1776682360/2288974_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/whole-chicken/tanmiah-fresh-minced-450g/p/2280447","Tanmiah Fresh Minced Chicken, 450g","","13",".49","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","7% OFF","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png",""
