"text-xs","w-full href","rounded-lg src","max-w-[134px] href","text-sm","text-xs 3","text-lg","text-2xs","whitespace-pre-wrap","whitespace-pre-wrap 2","w-full href 2","rounded-lg src 2","max-w-[134px] href 2","text-sm 3","text-xs 6","text-lg 2","text-2xs 3","text-2xs 4","relative src 2","whitespace-pre-wrap 3","w-full href 3","rounded-lg src 3","max-w-[134px] href 3","text-sm 5","text-xs 8","text-lg 3","text-2xs 5","whitespace-pre-wrap 4","whitespace-pre-wrap 5","w-full href 4","rounded-lg src 4","max-w-[134px] href 4","text-sm 6","text-xs 9","text-lg 4","text-2xs 7","whitespace-pre-wrap 6"
"","https://www.carrefouruae.com/mafuae/en/pickles/mix-pickles-special-lebanon/p/1256878","https://cdn.mafrservices.com/sys-master-root/h9a/hdc/51308778848286/1256878_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/pickles/mix-pickles-special-lebanon/p/1256878","Special Mixed Pickles","250g - Approx 3 pieces/KG","4",".37","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/herbs-pulses/zatar-molloki-palestinian-400g/p/1367153","https://cdn.mafrservices.com/pim-content/UAE/media/product/1367153/1727077804/1367153_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/herbs-pulses/zatar-molloki-palestinian-400g/p/1367153","Zatar Molloki Palestinian 400g","AED 72.48 per Kilo","28",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/smoked-roasted-beef/prime-beef-smok-roast/p/1092534","https://cdn.mafrservices.com/sys-master-root/hea/h0b/47827970457630/1092534_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/olives/olive-kalamata-fine-greek/p/1261949","Fine Greek Kalamata Olives","250g - Approx 40 pieces/KG","7",".62","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/olives/olive-kalamata-fine-greek/p/1261949","https://cdn.mafrservices.com/sys-master-root/h36/hfb/14623038996510/1261949_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/smoked-roasted-beef/prime-beef-smok-roast/p/1092534","Prime Roast Beef Smoked","250g - Approx 22 pieces/KG","24",".87",""
"","https://www.carrefouruae.com/mafuae/en/chicken/prime-mort-chic-olives/p/817684","https://cdn.mafrservices.com/pim-content/UAE/media/product/817684/1761281594/817684_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken/prime-mort-chic-olives/p/817684","Prime Olive Chicken Mortadella Roll","250g - Approx 23 pieces/KG","7",".37","Only 3 left","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/dry-meat/bresaola-beef/p/639322","https://cdn.mafrservices.com/pim-content/UAE/media/product/639322/1755254905/639322_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/beef/siniora-mort-beef-pepper/p/327204","Siniora Pepper Beef Mortadella","250g - Approx 22 pieces/KG","9",".62","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/beef/prime-mort-beef-pepper/p/867862","https://cdn.mafrservices.com/pim-content/UAE/media/product/867862/1761281639/867862_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-meat/bresaola-beef/p/639322","Beef Bresaola","250g - Approx 11 pieces/KG","59",".75","Tod. 12:00 PM","Only 3 left","https://www.carrefouruae.com/mafuae/en/beef/siniora-mort-beef-pepper/p/327204","https://cdn.mafrservices.com/sys-master-root/h37/hbc/28432025550878/327204_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/beef/prime-mort-beef-pepper/p/867862","Prime Pepper Beef Mortadella Roll","250g - Approx 22 pieces/KG","7",".37","Tod. 12:00 PM"
"","","","https://www.carrefouruae.com/mafuae/en/pickles/boleeve-mixed-egyptian/p/907562","Mixed Egyptian Boleeve","500g - Approx 2 pieces/KG","7",".25","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/olives/olives-green-jordan-queen-oil/p/88016","Jordanian Queen Green  Olives In Oil","250g - Pack size 1kg","7",".37","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/herbs-pulses/zatar-with-oil-palestinian/p/1256874","Palestinian Zaatar With Oil 400g","AED 68.73 per Kilo","27",".49","Only 3 left","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/chicken/prime-mort-chic-plain/p/693002","Prime Plain Chicken Mortadella","250g - Approx 23 pieces/KG","7",".37",""
"","","","https://www.carrefouruae.com/mafuae/en/herbs-pulses/freekeh-baladi-palestinian-700g/p/1367155","Baladi Palestinian Freekeh 700g","AED 36.27 per Kilo","25",".39","Tod. 12:00 PM","Only 2 left","","","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/siniora-beef-plain-500g/p/1311781","Siniora Plain Beef Mortadella 500g","AED 40.98 per Kilo","20",".49","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/pickles/soft-harissa-morocco/p/1212043","Soft Moroccan Harissa","250g - Approx 5 pieces/KG","7",".62","Tod. 12:00 PM","Only 3 left","","","https://www.carrefouruae.com/mafuae/en/beef/hana-beef-mortadella-plain/p/1871976","Hana Plain Beef Mortadella","500g - Approx 67 pieces/KG","16",".25","Tod. 12:00 PM"
"","","","https://www.carrefouruae.com/mafuae/en/pickles/magdous-w-oil-jordanian/p/84024","Magdous In Oil","250g - Approx 20 pieces/KG","8",".62","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/dry-meat/hana-armenian-basturma/p/1871978","Hana Armenian Basturma","150g - Approx 67 pieces/KG","17",".25","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/turkey/siniora-mort-turk-smok-plain/p/1264666","Siniora Smoked Plain Turkey Mortadella","300g - Approx 33 pieces/KG","11",".85","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/dry-meat/chilli-biltong-80g/p/2262049","Kvik Dried Beef Chilli Biltong 80g","","22",".49",""
"","","","https://www.carrefouruae.com/mafuae/en/dry-meat/bresaola-bordoni-gold-kg/p/1355461","Bresaola Bordoni Gold","250g - Approx 4 pieces/KG","61",".25","Tod. 12:00 PM","Only 1 left","","","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/reina-smoked-roast-turkey-breast/p/1872326","Reina Smoked Roasted Turkey Breast","150g - Approx 50 pieces/KG","14",".17","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/dry-meat/salt-pepper-biltong-80g/p/2262050","Kvik Dried Beef Salt Pepper Biltong 80g","300g - Approx 3 pieces/KG","22",".49","Tod. 12:00 PM","Only 3 left","","","https://www.carrefouruae.com/mafuae/en/pickles/jordanian-magdous-w-oil/p/1869674","Magdous in Oil","","9",".75","Tod. 12:00 PM"
"","","","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/zester-smoked-turkey/p/2241665","Smoked Turkey Breast","250g - Approx 4 pieces/KG","16",".62","Only 2 left","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/smoked-roasted-beef/bavaria-smoked-beef-strips/p/1871981","Bavaria Smoked Beef Strips","150g - Approx 50 pieces/KG","13",".72","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/dry-fish/dried-anchovies/p/72997","Dry Anchovy 150g","250g - Approx 23 pieces/KG","6",".99","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/smocked-roasted-chicken/volys-chicken-white-shaped-kg/p/1072318","Volys Chicken White Shaped","","26",".25",""
"","","","https://www.carrefouruae.com/mafuae/en/olives/dry-black-olives-turkish/p/1789205","Dry Black Olives (Turkey)","200g - Approx 5 pieces/KG","7",".10","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/herbs-pulses/maftool-baladi-jordan-800g/p/1367154","Baladi Jordan Maftool 800g","AED 26.61 per Kilo","21",".29","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/pickles/wild-cucumber-pickles-lebanon-550g/p/1367159","Wild Cucumber Pickles 550g","AED 28.16 per Kilo","15",".49","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/salamis/salami-pepperoni-spicy/p/1184948","Spicy Salami Pepperoni","100g - Pack size 1 Piece","23",".90",""
"","","","https://www.carrefouruae.com/mafuae/en/olives/jordan-green-olive-jumbo-lemon/p/1358758","Jumbo Green Olives with Lemon","250g - Approx 4 pieces/KG","7",".62","Only 2 left","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/antipasti/renna-sardine-rolls-with-olives/p/1083910","Renna Sardinella Rolls With Olives","100g - Approx 10 pieces/KG","19",".90","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/olives/jordan-green-olive-with-thyme/p/1869675","Green Olives with Thyme","200g - Approx 5 pieces/KG","5",".10","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/chicken/siniora-chick-plain/p/327207","Siniora Plain Chicken Mortadella","250g - Approx 23 pieces/KG","9",".87",""
"","","","https://www.carrefouruae.com/mafuae/en/chicken/nova-randa-chicken-mort-mexican/p/1871971","Nova Randa Mexican Chicken Mortadella","500g - Approx 67 pieces/KG","15",".25","Only 3 left","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/fireball-dark-turkey-breast-roasted/p/1872324","Fireball Dark Roasted Turkey Breast","150g - Approx 50 pieces/KG","14",".92","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/nova-randa-beef-mortadella-plain/p/1871987","Nova Randa Plain Beef Mortadella","500g - Approx 67 pieces/KG","15",".25","Only 3 left","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/nova-randa-beef-mortadella-olives/p/1871967","Nova Randa Beef Mortadella with Olives","500g - Approx 67 pieces/KG","15",".25","Only 3 left"
"","","","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/eurogourmet-turkey-breakfast/p/2245136","Euro Gourmet  Smoked Turkey Breakfast Square","250g - Approx 4 pieces/KG","22",".25","Only 3 left","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/olives/olives-green-baladi-palestine/p/1261593","Olives Green Baladi Palestine","250g - Approx 40 pieces/KG","7",".57","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/chicken/siniora-chick-olives/p/327209","Siniora Olives Chicken Mortadella","250g - Approx 23 pieces/KG","9",".87","Tod. 12:00 PM","Only 3 left","","","https://www.carrefouruae.com/mafuae/en/chicken/prime-mort-chic-pepper/p/817678","Prime Pepper Chicken Mortadella Roll","250g - Approx 23 pieces/KG","7",".37","Tod. 12:00 PM"
"","","","https://www.carrefouruae.com/mafuae/en/pickles/red-cherry-pepper-golden-plate/p/2037625","Red Cherry Pepper Golden Plate","250g - Approx 4 pieces/KG","7",".00","Only 1 left","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/hana-beef-mortadella-olives/p/1871977","Hana Beef Mortadella Olives","500g - Approx 67 pieces/KG","16",".25","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Only 3 left","","","https://www.carrefouruae.com/mafuae/en/olives/olives-green-stuffed-spanish/p/66514","Olives Green Stuffed Spanish","250g - Approx 40 pieces/KG","8",".12","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/pickles/egyptian-mix-pickles-600g/p/1872599","Balade Egyptian Mix Pickles 600g","","8",".49","Tod. 12:00 PM"
"","","","https://www.carrefouruae.com/mafuae/en/chicken/nova-randa-chicken-mort-olives/p/1871970","Nova Randa Chicken Mortadella with Olives","500g - Approx 67 pieces/KG","15",".25","Only 3 left","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/pickles/magdous-oil-syrian-sty-jordan-700g/p/1367157","Magdous Oil 700g","AED 44.27 per Kilo","30",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/turkey/tulkarem-smoke-turkey-mort-olives/p/1877043","Tulkarem Smoked Turkey Mortadella with Olives","200g - Approx 67 pieces/KG","7",".10","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/olives/olives-green-stufed-carrots/p/1117449","Carrot-Stuffed Green Olives","200g - Approx 5 pieces/KG","10",".10",""
"","","","https://www.carrefouruae.com/mafuae/en/chicken/crf-mortad-roll-chick-oliv-250g/p/1450345","Carrefour Olives Chicken Mortadella Rolls 250g","AED 25.16 per Kilo","6",".29","Only 3 left","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/antipasti/mussels-in-oil/p/1083904","Renna Mussels In Oil","100g - Approx 10 pieces/KG","14",".90","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/siniora-mort-olive-500g/p/1311783","Siniora Beef Mortadella with Olives 500g","AED 40.98 per Kilo","20",".49","Only 2 left","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/nova-randa-beef-mortaella-mexican/p/1871968","Nova Randa Mexican Beef Mortadella","500g - Approx 67 pieces/KG","15",".25","Only 3 left"
"","","","https://www.carrefouruae.com/mafuae/en/pickles/mix-pickles-lebanon-650g/p/1256864","Mix Pickles Lebanon 650g","AED 20.75 per Kilo","13",".49","Tod. 12:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","https://www.carrefouruae.com/mafuae/en/pickles/boleeve-mixed-egyptian/p/907562","https://cdn.mafrservices.com/sys-master-root/hfd/hce/14623372443678/907562_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/pickles/boleeve-mixed-egyptian/p/907562","Mixed Egyptian Boleeve","500g - Approx 2 pieces/KG","7",".25","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/olives/olives-green-jordan-queen-oil/p/88016","https://cdn.mafrservices.com/pim-content/UAE/media/product/88016/1762146753/88016_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/olives/olives-green-jordan-queen-oil/p/88016","Jordanian Queen Green  Olives In Oil","250g - Pack size 1kg","7",".37","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/herbs-pulses/zatar-with-oil-palestinian/p/1256874","https://cdn.mafrservices.com/sys-master-root/he3/hf9/14623038636062/1256874_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/herbs-pulses/zatar-with-oil-palestinian/p/1256874","Palestinian Zaatar With Oil 400g","AED 68.73 per Kilo","27",".49","Only 3 left","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/chicken/prime-mort-chic-plain/p/693002","https://cdn.mafrservices.com/pim-content/UAE/media/product/693002/1761281553/693002_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken/prime-mort-chic-plain/p/693002","Prime Plain Chicken Mortadella","250g - Approx 23 pieces/KG","7",".37",""
"","https://www.carrefouruae.com/mafuae/en/herbs-pulses/freekeh-baladi-palestinian-700g/p/1367155","https://cdn.mafrservices.com/pim-content/UAE/media/product/1367155/1777612502/1367155_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/herbs-pulses/freekeh-baladi-palestinian-700g/p/1367155","Baladi Palestinian Freekeh 700g","AED 36.27 per Kilo","25",".39","Tod. 12:00 PM","Only 2 left","https://www.carrefouruae.com/mafuae/en/pickles/soft-harissa-morocco/p/1212043","https://cdn.mafrservices.com/sys-master-root/hf9/hc6/12215710187550/1212043_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/siniora-beef-plain-500g/p/1311781","Siniora Plain Beef Mortadella 500g","AED 40.98 per Kilo","20",".49","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/beef/hana-beef-mortadella-plain/p/1871976","https://cdn.mafrservices.com/sys-master-root/hc0/hc7/49111777411102/1871976_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/pickles/soft-harissa-morocco/p/1212043","Soft Moroccan Harissa","250g - Approx 5 pieces/KG","7",".62","Tod. 12:00 PM","Only 3 left","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/siniora-beef-plain-500g/p/1311781","https://cdn.mafrservices.com/sys-master-root/h75/h44/28431531278366/1311781_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/beef/hana-beef-mortadella-plain/p/1871976","Hana Plain Beef Mortadella","500g - Approx 67 pieces/KG","16",".25","Tod. 12:00 PM"
"","https://www.carrefouruae.com/mafuae/en/pickles/magdous-w-oil-jordanian/p/84024","https://cdn.mafrservices.com/pim-content/UAE/media/product/84024/1762146675/84024_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/pickles/magdous-w-oil-jordanian/p/84024","Magdous In Oil","250g - Approx 20 pieces/KG","8",".62","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/dry-meat/hana-armenian-basturma/p/1871978","https://cdn.mafrservices.com/pim-content/UAE/media/product/1871978/1771326675/1871978_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-meat/hana-armenian-basturma/p/1871978","Hana Armenian Basturma","150g - Approx 67 pieces/KG","17",".25","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/dry-meat/chilli-biltong-80g/p/2262049","https://cdn.mafrservices.com/pim-content/UAE/media/product/2262049/1760520006/2262049_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/turkey/siniora-mort-turk-smok-plain/p/1264666","Siniora Smoked Plain Turkey Mortadella","300g - Approx 33 pieces/KG","11",".85","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/turkey/siniora-mort-turk-smok-plain/p/1264666","https://cdn.mafrservices.com/sys-master-root/h31/hbc/28431524560926/1264666_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-meat/chilli-biltong-80g/p/2262049","Kvik Dried Beef Chilli Biltong 80g","","22",".49",""
"","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/reina-smoked-roast-turkey-breast/p/1872326","https://cdn.mafrservices.com/pim-content/UAE/media/product/1872326/1771326845/1872326_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-meat/bresaola-bordoni-gold-kg/p/1355461","Bresaola Bordoni Gold","250g - Approx 4 pieces/KG","61",".25","Tod. 12:00 PM","Only 1 left","https://www.carrefouruae.com/mafuae/en/dry-meat/salt-pepper-biltong-80g/p/2262050","https://cdn.mafrservices.com/pim-content/UAE/media/product/2262050/1760520006/2262050_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/reina-smoked-roast-turkey-breast/p/1872326","Reina Smoked Roasted Turkey Breast","150g - Approx 50 pieces/KG","14",".17","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/pickles/jordanian-magdous-w-oil/p/1869674","https://cdn.mafrservices.com/sys-master-root/h11/h87/52304546529310/1869674_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-meat/salt-pepper-biltong-80g/p/2262050","Kvik Dried Beef Salt Pepper Biltong 80g","300g - Approx 3 pieces/KG","22",".49","Tod. 12:00 PM","Only 3 left","https://www.carrefouruae.com/mafuae/en/dry-meat/bresaola-bordoni-gold-kg/p/1355461","https://cdn.mafrservices.com/pim-content/UAE/media/product/1355461/1765551605/1355461_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/pickles/jordanian-magdous-w-oil/p/1869674","Magdous in Oil","","9",".75","Tod. 12:00 PM"
"","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/zester-smoked-turkey/p/2241665","https://cdn.mafrservices.com/pim-content/UAE/media/product/2241665/1747119603/2241665_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/zester-smoked-turkey/p/2241665","Smoked Turkey Breast","250g - Approx 4 pieces/KG","16",".62","Only 2 left","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/smoked-roasted-beef/bavaria-smoked-beef-strips/p/1871981","https://cdn.mafrservices.com/pim-content/UAE/media/product/1871981/1771326752/1871981_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/smoked-roasted-beef/bavaria-smoked-beef-strips/p/1871981","Bavaria Smoked Beef Strips","150g - Approx 50 pieces/KG","13",".72","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/smocked-roasted-chicken/volys-chicken-white-shaped-kg/p/1072318","https://cdn.mafrservices.com/pim-content/UAE/media/product/1072318/1741158603/1072318_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/dry-fish/dried-anchovies/p/72997","Dry Anchovy 150g","250g - Approx 23 pieces/KG","6",".99","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/dry-fish/dried-anchovies/p/72997","https://cdn.mafrservices.com/pim-content/UAE/media/product/72997/1727871003/72997_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/smocked-roasted-chicken/volys-chicken-white-shaped-kg/p/1072318","Volys Chicken White Shaped","","26",".25",""
"","https://www.carrefouruae.com/mafuae/en/olives/dry-black-olives-turkish/p/1789205","https://cdn.mafrservices.com/sys-master-root/hff/hf7/52384177389598/1789205_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/olives/dry-black-olives-turkish/p/1789205","Dry Black Olives (Turkey)","200g - Approx 5 pieces/KG","7",".10","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/herbs-pulses/maftool-baladi-jordan-800g/p/1367154","https://cdn.mafrservices.com/sys-master-root/ha2/h2f/14623048826910/1367154_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/herbs-pulses/maftool-baladi-jordan-800g/p/1367154","Baladi Jordan Maftool 800g","AED 26.61 per Kilo","21",".29","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/pickles/wild-cucumber-pickles-lebanon-550g/p/1367159","https://cdn.mafrservices.com/sys-master-root/h7a/h44/12198073008158/1367159_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/pickles/wild-cucumber-pickles-lebanon-550g/p/1367159","Wild Cucumber Pickles 550g","AED 28.16 per Kilo","15",".49","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/salamis/salami-pepperoni-spicy/p/1184948","https://cdn.mafrservices.com/sys-master-root/h1d/h32/52498209865758/1184948_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/salamis/salami-pepperoni-spicy/p/1184948","Spicy Salami Pepperoni","100g - Pack size 1 Piece","23",".90",""
"","https://www.carrefouruae.com/mafuae/en/olives/jordan-green-olive-jumbo-lemon/p/1358758","https://cdn.mafrservices.com/sys-master-root/h28/h22/52702481186846/1358758_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/olives/jordan-green-olive-jumbo-lemon/p/1358758","Jumbo Green Olives with Lemon","250g - Approx 4 pieces/KG","7",".62","Only 2 left","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/antipasti/renna-sardine-rolls-with-olives/p/1083910","https://cdn.mafrservices.com/pim-content/UAE/media/product/1083910/1765711891/1083910_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/antipasti/renna-sardine-rolls-with-olives/p/1083910","Renna Sardinella Rolls With Olives","100g - Approx 10 pieces/KG","19",".90","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/olives/jordan-green-olive-with-thyme/p/1869675","https://cdn.mafrservices.com/sys-master-root/he7/h7e/32255087771678/1869675_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/olives/jordan-green-olive-with-thyme/p/1869675","Green Olives with Thyme","200g - Approx 5 pieces/KG","5",".10","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/chicken/siniora-chick-plain/p/327207","https://cdn.mafrservices.com/pim-content/UAE/media/product/327207/1724659204/327207_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken/siniora-chick-plain/p/327207","Siniora Plain Chicken Mortadella","250g - Approx 23 pieces/KG","9",".87",""
