"text-xs","w-full href","rounded-lg src","max-w-[134px] href","text-sm","text-lg","text-2xs","whitespace-pre-wrap","w-full href 2","rounded-lg src 2","max-w-[134px] href 2","text-sm 3","text-xs 3","text-lg 2","text-2xs 3","whitespace-pre-wrap 2","w-full href 3","rounded-lg src 3","max-w-[134px] href 3","text-sm 4","text-lg 3","text-2xs 5","whitespace-pre-wrap 3","whitespace-pre-wrap 4","text-xs 4","w-full href 4","rounded-lg src 4","max-w-[134px] href 4","text-sm 5","text-lg 4","text-2xs 7","whitespace-pre-wrap 5","inline-flex src","text-xs 6","text-xs 7","text-xs 8","inline-flex src 2"
"LOW PRICES","https://www.carrefouruae.com/mafuae/en/flavoured-yoghurt/activia-mix-go-yog170g-hony-ot-cerl/p/2201499","https://cdn.mafrservices.com/pim-content/UAE/media/product/2201499/1748369403/2201499_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/flavoured-yoghurt/activia-mix-go-yog170g-hony-ot-cerl/p/2201499","Activia Mix & Go Honey, Oat and Cereal Yoghurt, 170g","7",".59","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/labneh/labna-pomegranate/p/1736234","https://cdn.mafrservices.com/pim-content/UAE/media/product/1736234/1770624000/1736234_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/labneh/labna-pomegranate/p/1736234","Labneh Pomegranate","AED 44.65 per Kilo","8",".68","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/french-cheese/brie-french-kg/p/71344","https://cdn.mafrservices.com/sys-master-root/hf5/h96/45499675836446/71344_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/goat-cheese/camenbert-grand-terroir/p/870310","Camembert Grand Terroir 250g","39",".49","Tom. 10:00 AM","Tom. 10:00 AM","","https://www.carrefouruae.com/mafuae/en/goat-cheese/camenbert-grand-terroir/p/870310","https://cdn.mafrservices.com/sys-master-root/h57/hf9/52056669749278/870310_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/french-cheese/brie-french-kg/p/71344","French Brie","15",".00","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","200g - Approx 5 pieces/KG","AED 157.96 per Kilo","200g - Approx 5 pieces/KG",""
"","https://www.carrefouruae.com/mafuae/en/western-cheese/skn-raclette-de-savoie/p/1755581","https://cdn.mafrservices.com/pim-content/UAE/media/product/1755581/1734494160/1755581_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/holland-cheese/crf-cheese-gouda-cumin-cubes-150g/p/1248053","Carrefour Gouda Cumin Cubes 150g","24",".79","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/holland-cheese/crf-cheese-gouda-cumin-cubes-150g/p/1248053","https://cdn.mafrservices.com/sys-master-root/h29/h87/9289556066334/1248053_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/french-cheese/ile-de-france-brie/p/1859670","Ile De France Brie","AED 165.27 per Kilo","16",".16","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/cheddar-cheese/mera-mature-cheddar-loaf/p/2135577","https://cdn.mafrservices.com/pim-content/UAE/media/product/2135577/1722600606/2135577_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/western-cheese/skn-raclette-de-savoie/p/1755581","Raclette de Savoie Skin-Pack Cheese","18",".75","Tom. 10:00 AM","Tom. 10:00 AM","","https://www.carrefouruae.com/mafuae/en/french-cheese/ile-de-france-brie/p/1859670","https://cdn.mafrservices.com/pim-content/UAE/media/product/1859670/1748406481/1859670_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/cheddar-cheese/mera-mature-cheddar-loaf/p/2135577","Mera Mature Cheddar","11",".62","","","200g - Approx 5 pieces/KG","150g - Pack size Approx. 200-300g","150g - Approx 7 pieces/KG",""
"","https://www.carrefouruae.com/mafuae/en/french-cheese/paysan-breton-emmenthal/p/1881529","https://cdn.mafrservices.com/pim-content/UAE/media/product/1881529/1756372205/1881529_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/blue-cheese/papillon-roquefort-black/p/1859686","Black Papillon Roquefort","19",".90","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/blue-cheese/papillon-roquefort-black/p/1859686","https://cdn.mafrservices.com/sys-master-root/h67/hb7/52031198396446/1859686_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/french-cheese/paysan-breton-emmenthal/p/1881529","Paysan Breton Emmental","100g - Approx 10 pieces/KG","12",".34","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/italian-cheese/buffalo-mozza-bocconcini-125gx2/p/1435406","https://cdn.mafrservices.com/sys-master-root/h66/h08/45229328334878/1435406_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/italian-cheese/buffalo-mozza-bocconcini-125gx2/p/1435406","Buffalo Bocconcini Mozzarella 2X125g","50",".49","Tom. 10:00 AM","Tom. 10:00 AM","","https://www.carrefouruae.com/mafuae/en/western-cheese/map-cheddar-slices-colored-150g/p/1812613","https://cdn.mafrservices.com/pim-content/UAE/media/product/1812613/1735301403/1812613_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/western-cheese/map-cheddar-slices-colored-150g/p/1812613","Adi Chedder Color Slices Cheese 150g","14",".99","","","200g - Approx 50 pieces/KG","","",""
"","https://www.carrefouruae.com/mafuae/en/labneh/pinar-labneh-750gr/p/11409","https://cdn.mafrservices.com/pim-content/UAE/media/product/11409/1760415004/11409_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/labneh/pinar-labneh-750gr/p/11409","Pinar Creamy Labneh, 750g","34",".99","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/goat-cheese/reblochon-aop-500g/p/1085886","https://cdn.mafrservices.com/sys-master-root/hca/hee/14622929420318/1085886_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/goat-cheese/reblochon-aop-500g/p/1085886","Reblochon A.O.P. 500g","AED 205.82 per Kilo","92",".50","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/soft-cheese-cottage/akawi-for-sweets/p/1365363","https://cdn.mafrservices.com/sys-master-root/h53/hc3/11146877632542/1365363_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/cheddar-cheese/mera-monterey-jack-loaf/p/2135579","Mera Monterey Jack Cheese","10",".87","Tom. 10:00 AM","Tom. 10:00 AM","","https://www.carrefouruae.com/mafuae/en/cheddar-cheese/mera-monterey-jack-loaf/p/2135579","https://cdn.mafrservices.com/pim-content/UAE/media/product/2135579/1722600606/2135579_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/soft-cheese-cottage/akawi-for-sweets/p/1365363","Akkawi For Sweets","16",".20","","","500g - Pack size 500g","150g - Approx 7 pieces/KG","350g - Approx 30 pieces/KG",""
"LOW PRICES","https://www.carrefouruae.com/mafuae/en/whipping-cream/crf-bio-cream-30-20clx3/p/1288145","https://cdn.mafrservices.com/sys-master-root/hc5/hcc/12659329138718/1288145_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/feta-white-cheese/almarai-feta-cheese-lite-400g/p/1305228","Almarai Lite Feta Cheese, 400g","11",".49","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/feta-white-cheese/almarai-feta-cheese-lite-400g/p/1305228","https://cdn.mafrservices.com/sys-master-root/hf7/hf8/16000913670174/1305228_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/whipping-cream/crf-bio-cream-30-20clx3/p/1288145","Carrefour Bio Organic Fluid Cream, 200ml, Pack of 3","AED 28.72 per Kilo","47",".79","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/mozzarella-whey-cheese/galbani-mini-mozzarella-150g-/p/1222192","https://cdn.mafrservices.com/pim-content/UAE/media/product/1222192/1751043604/1222192_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/french-cheese/emmental-swiss-kg/p/153281","Swiss Emmental","25",".80","Tom. 10:00 AM","Tom. 10:00 AM","","https://www.carrefouruae.com/mafuae/en/french-cheese/emmental-swiss-kg/p/153281","https://cdn.mafrservices.com/sys-master-root/h36/h3a/13704366161950/153281_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/mozzarella-whey-cheese/galbani-mini-mozzarella-150g-/p/1222192","Galbani Mini Mozzarella, 150g","21",".79","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","AED 79.65 per Liter","200g - Approx 5 pieces/KG","AED 145.27 per Kilo",""
"","https://www.carrefouruae.com/mafuae/en/camel-sheep-goat-yoghurt/crf-bio-yogurt-sheep-125gx2/p/1342576","https://cdn.mafrservices.com/sys-master-root/hab/h30/11525378211870/1342576_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/egyptian-white-cheese/istanbully-cheese-egypt-aga/p/1442489","Istanbuli Cheese","15",".85","Only 3 left","https://www.carrefouruae.com/mafuae/en/egyptian-white-cheese/istanbully-cheese-egypt-aga/p/1442489","https://cdn.mafrservices.com/sys-master-root/h45/h61/50791488389150/1442489_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/french-cheese/ria-roule-cranberry/p/1910786","Rians Le Roule Cranberry","500g - Approx 5 pieces/KG","16",".90","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/western-cheese/skn-manchego/p/1755597","https://cdn.mafrservices.com/pim-content/UAE/media/product/1755597/1769680800/1755597_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/western-cheese/skn-manchego/p/1755597","Manchego Skin-Pack Cheese","33",".80","Tom. 10:00 AM","Tom. 10:00 AM","","https://www.carrefouruae.com/mafuae/en/french-cheese/ria-roule-cranberry/p/1910786","https://cdn.mafrservices.com/pim-content/UAE/media/product/1910786/1731052804/1910786_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/camel-sheep-goat-yoghurt/crf-bio-yogurt-sheep-125gx2/p/1342576","Carrefour Bio Plain Yogurt, 125g, Pack of 2","19",".49","Only 3 left","","100g - Approx 10 pieces/KG","200g - Pack size Approx. 200-300g","AED 77.96 per Kilo",""
"","https://www.carrefouruae.com/mafuae/en/full-fat-yogurt/almarai-plain-yoghurt-ff-2kg/p/1053997","https://cdn.mafrservices.com/pim-content/UAE/media/product/1053997/1756703404/1053997_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/spain-cheese/manchego-dop-/p/1279626","Manchego D.O.P.","29",".00","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/spain-cheese/manchego-dop-/p/1279626","https://cdn.mafrservices.com/sys-master-root/hd6/h82/11086077263902/1279626_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/full-fat-yogurt/almarai-plain-yoghurt-ff-2kg/p/1053997","Almarai Full Fat Fresh Yoghurt, 2kg","200g - Approx 7 pieces/KG","14",".99","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/feta-white-cheese/puck-white-chees-drainer-200g/p/1267405","https://cdn.mafrservices.com/sys-master-root/ha8/h1d/47644554854430/1267405_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/egyptian-white-cheese/old-istanbuli-cheesa-land/p/1813673","Cheesa Land Istanbul Cheese","7",".60","Only 3 left","Tom. 10:00 AM","","https://www.carrefouruae.com/mafuae/en/egyptian-white-cheese/old-istanbuli-cheesa-land/p/1813673","https://cdn.mafrservices.com/sys-master-root/h88/h5a/28222123868190/1813673_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/feta-white-cheese/puck-white-chees-drainer-200g/p/1267405","Puck Cubed White Cheese Drainer, 200g","9",".99","Tom. 10:00 AM","","AED 7.50 per Kilo","200g - Approx 4 pieces/KG","AED 49.95 per Kilo",""
"LOW PRICES","https://www.carrefouruae.com/mafuae/en/halloumi-akawi-kashkawal/chtoora-fresh-halloumi-250g/p/1087774","https://cdn.mafrservices.com/pim-content/UAE/media/product/1087774/1758183005/1087774_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/halloumi-akawi-kashkawal/chtoora-fresh-halloumi-250g/p/1087774","Chtoora Full Fat Fresh Halloumi Cheese, 250g","11",".49","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/goat-cheese/epi-jam-camargue-spirit-125g/p/1911095","https://cdn.mafrservices.com/pim-content/UAE/media/product/1911095/1761202806/1911095_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/goat-cheese/epi-jam-camargue-spirit-125g/p/1911095","L epicurien Apple & Pear With Caramel Jam","AED 45.96 per Kilo","24",".49","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/goat-cheese/mini-camembert-with-truffles-150g/p/2139890","https://cdn.mafrservices.com/pim-content/UAE/media/product/2139890/1730272203/2139890_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/labneh/fresh-labneh-ball-w-chili/p/72923","Fresh Labneh Ball With Chilli","15",".19","Tom. 10:00 AM","Tom. 10:00 AM","","https://www.carrefouruae.com/mafuae/en/labneh/fresh-labneh-ball-w-chili/p/72923","https://cdn.mafrservices.com/sys-master-root/h59/hd8/14623364087838/72923_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/goat-cheese/mini-camembert-with-truffles-150g/p/2139890","Mini Camembert With Truffles 150g","49",".99","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","350g - Approx 36 pieces/KG","AED 399.92 per Kilo","",""
"","https://www.carrefouruae.com/mafuae/en/french-cheese/raclette-fondant-truffe-kg/p/1767733","https://cdn.mafrservices.com/sys-master-root/hd7/hc3/45540424089630/1767733_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/french-cheese/hercule-brebis-et-chevre/p/1869737","Hercule Brebis Et Chevre","23",".50","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/french-cheese/hercule-brebis-et-chevre/p/1869737","https://cdn.mafrservices.com/sys-master-root/h1e/h11/52056670765086/1869737_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/egyptian-white-cheese/egyptian-natural-mish/p/1403067","Egyptian Natural Mish","100g - Approx 10 pieces/KG","10",".81","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/holland-cheese/crf-cheese-maasdam-block-330g/p/1010419","https://cdn.mafrservices.com/sys-master-root/h99/hd2/46641006116894/1010419_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/french-cheese/raclette-fondant-truffe-kg/p/1767733","Raclette Fondant Truffe","22",".90","Tom. 10:00 AM","Tom. 10:00 AM","","https://www.carrefouruae.com/mafuae/en/egyptian-white-cheese/egyptian-natural-mish/p/1403067","https://cdn.mafrservices.com/sys-master-root/h68/h47/14623048138782/1403067_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/holland-cheese/crf-cheese-maasdam-block-330g/p/1010419","Carrefour Original Maasdam Cheese Block 330g","39",".79","","","350g - Approx 30 pieces/KG","100g - Pack size 1kg","AED 120.58 per Kilo",""
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/soft-cheese-cottage/akawi-cheesaland/p/1813605","Akawi Cheesaland","15",".60","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/energy-milk/yopro-vanilla-milk-300ml/p/2241784","YoPro Protein Milk, Triple Zero Vanilla Flavoured High Protein Milk, Fat Free Milk, 300ml","500g","7",".29","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/brown-eggs/crf-me-egg-brown-large-x6/p/1886160","Carrefour Fresh Brown Eggs, Large, 6 PCS","5",".49","Tom. 10:00 AM","Tom. 10:00 AM","","","","https://www.carrefouruae.com/mafuae/en/goat-cheese/gillot-frenchy-camembert-250g/p/1851274","Gillot Frenchy Camembert 250g","38",".49","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","AED 24.30 per Liter","","",""
"","","","https://www.carrefouruae.com/mafuae/en/french-cheese/crf-cheese-coulommiers-350g/p/229469","Carrefour Coulommiers 350g","30",".29","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/goat-cheese/jacquin-buchette-ash-150g/p/1851279","Jacquin Ash Buchette 150g","AED 86.54 per Kilo","32",".49","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/western-cheese/skn-ossau-iraty/p/1755579","Ossau Iraty Skin-Pack Cheese","39",".00","Tom. 10:00 AM","Tom. 10:00 AM","","","","https://www.carrefouruae.com/mafuae/en/fresh-cream/crf-cream-uht-30-20clx3/p/1009928","Carrefour Fluide Entiere Fresh Cream, 200ml, Pack of 3","33",".29","","","200g - Pack size Approx. 200-300g","AED 55.48 per Liter","",""
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/soft-cheese-cottage/akawi-cheese-kg/p/2246554","Akawi Cheese","25",".25","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/cheddar-cheese/cheddar-tasty-bega/p/1067513","Bega Tasty Cheddar Cheese","500g - Approx 2 pieces/KG","19",".25","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/flavored-greek-yogurt/balade-greek-yogurt-blueberry-180g/p/1364510","Balade Greek Style Blueberry Yogurt, 180g","6",".59","Tom. 10:00 AM","Tom. 10:00 AM","","","","https://www.carrefouruae.com/mafuae/en/ethnic-yoghurt/crf-yog-fromage-blanc-van20-100gx8/p/242087","Carrefour Saveur Vanilla Yogurt, 100g, Pack of 8","25",".99","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","250g - Approx 36 pieces/KG","AED 36.61 per Kilo","AED 32.49 per Kilo",""
"","","","https://www.carrefouruae.com/mafuae/en/spread-processed-cheese/crf-cheese-slices-x16-300g/p/1010415","Carrefour Croque Monsieur Cheese Slices 300g","22",".79","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/french-cheese/mimolette-mature/p/870305","Mature Mimolette","AED 4.75 per Kilo","29",".25","Only 1 left","","","https://www.carrefouruae.com/mafuae/en/western-cheese/skn-roquefort/p/1755545","Roquefort Skin-Pack Cheese","45",".00","Tom. 10:00 AM","Tom. 10:00 AM","","","","https://www.carrefouruae.com/mafuae/en/cheddar-cheese/wensleydale-cranberries-hawes/p/1902573","Wensleydale with Cranberries","25",".80","Tom. 10:00 AM","","150g - Approx 7 pieces/KG","200g - Pack size Approx. 200-300g","200g - Approx 5 pieces/KG",""
"","","","https://www.carrefouruae.com/mafuae/en/goat-cheese/epi-confit-thyme-125g/p/1911097","L epicurien Confit De Thym Sauvage Paste","24",".49","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/western-cheese/skn-appenzeller/p/1755548","Appenzeller Skin-Pack Cheese","200g - Pack size Approx. 200-300g","41",".80","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/omega-3-eggs/jenan-dha-omega-3-eggs-x30/p/1591725","Jenan DHA Omega 3 With Vitamin D Eggs 30 PCS","40",".99","Tom. 10:00 AM","Tom. 10:00 AM","","","","https://www.carrefouruae.com/mafuae/en/goat-cheese/epi-jam-wild-blueberry-125g/p/1911100","L epicurien Myrtille Savage Jam","27",".49","","","","","",""
"","","","https://www.carrefouruae.com/mafuae/en/western-cheese/skn-beemster-old-gouda/p/1755590","Beemster Old Gouda Skin-Pack Cheese","39",".00","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/flavored-greek-yogurt/crf-yogurt-greek-passi-fruit-150gx4/p/1501064","Carrefour Peach Passion Fruit Greek Yogurt, 150g, Pack of 4","200g - Pack size Approx. 200-300g","25",".99","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/french-cheese/rambol-nuts/p/71032","Rambol With Nuts","37",".80","Tom. 10:00 AM","Tom. 10:00 AM","","","","https://www.carrefouruae.com/mafuae/en/western-cheese/skn-fourme-dambert/p/1755542","Fourme D'Ambert Skin-Pack Cheese","27",".00","","","AED 43.32 per Kilo","200g - Approx 7 pieces/KG","200g - Pack size Approx. 200-300g",""
"","","","https://www.carrefouruae.com/mafuae/en/ethnic-yoghurt/crf-yogurt-fromage-frais-fat-20-1k/p/242085","Carrefour Fromage Frais Yogurt, 1kg","24",".29","Only 4 left","","","https://www.carrefouruae.com/mafuae/en/western-cheese/skn-moliterno-al-tartufo/p/1755554","Skn Moliterno Al Tartufo","200g - Pack size Approx. 200-300g","77",".80","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/brown-eggs/crf-me-egg-brown-medium-x30/p/1886161","Carrefour Fresh Brown Eggs, Medium, 30 PCS","21",".29","Tom. 10:00 AM","Tom. 10:00 AM","","","","https://www.carrefouruae.com/mafuae/en/western-cheese/map-goat-cheese-sliecs-150g/p/1812619","Adi Smoked Processed Goat Cheese 150g","19",".49","Tom. 10:00 AM","","","","",""
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/labneh/pinar-labneh-200gr/p/11411","Pinar Creamy Labneh, 200g","11",".99","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/goat-cheese/epi-quince-paste-125g/p/1911094","L epicurien Pate De Coings Paste","AED 59.95 per Kilo","24",".49","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/western-cheese/skn-st-agur/p/1755546","Saint Agur Skin-Pack Cheese","47",".80","Tom. 10:00 AM","Tom. 10:00 AM","","","","https://www.carrefouruae.com/mafuae/en/shredded-grated-cheese/crf-mozzarella-shredded-uae-1kg/p/2166022","Carrefour Shredded Mozzarella Cheese, 1kg","41",".29","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","200g - Pack size Approx. 200-300g","","",""
"","","","https://www.carrefouruae.com/mafuae/en/egyptian-white-cheese/domiyati-domty/p/1154301","Domty Domiyati Cheese","16",".50","Only 2 left","","","https://www.carrefouruae.com/mafuae/en/italian-cheese/truffle-stracciatella-250g/p/1590749","Truffle Stracciatella 250g","500g - Approx 5 pieces/KG","55",".49","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/french-cheese/beaufort-6-months-kg/p/71157","Beaufort 6 Months","32",".25","Tom. 10:00 AM","Only 1 left","","","","https://www.carrefouruae.com/mafuae/en/goat-cheese/epi-spread-rose-petals-125g/p/1911099","L epicurien Petales De Roses De Nos Jardins Spread","24",".49","Tom. 10:00 AM","","150g - Approx 10 pieces/KG","","",""
"","","","https://www.carrefouruae.com/mafuae/en/french-cheese/fresh-cheese-w-herbs-garlic/p/71383","Fresh Cheese With Herbs And Garlic","14",".50","Only 2 left","","","https://www.carrefouruae.com/mafuae/en/goat-cheese/neufchatel-villiers-coeur-x-6-45-/p/1116398","Neufchatel Villiers Coeur 45% 6 Pieces","100g - Approx 10 pieces/KG","30",".49","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/white-eggs/crf-me-egg-white-medium-x30/p/1886169","Carrefour Fresh White Eggs, Medium, 30 PCS","21",".29","Only 2 left","Tom. 10:00 AM","","","","https://www.carrefouruae.com/mafuae/en/ethnic-yoghurt/crf-yog-froma-blanc-plain20-100gx8/p/242083","Carrefour Classic Plain Fromage Blanc Yogurt, 100g, Pack of 8","22",".99","Tom. 10:00 AM","","AED 28.74 per Kilo","","",""
"","","","https://www.carrefouruae.com/mafuae/en/goat-cheese/camembert-d-isigny-raw-milk-250g/p/1814813","Camembert D'Isigny Raw Milk 250g","42",".49","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/blue-cheese/gorgonzola/p/71362","Gorgonzola","250g - Approx 40 pieces/KG","39",".75","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/western-cheese/skn-blue-dauvergne/p/1755541","Bleu D Auvergne Skin-Pack Cheese","23",".80","Tom. 10:00 AM","Only 4 left","","","","https://www.carrefouruae.com/mafuae/en/spain-cheese/fig-bread-with-nuts-400g/p/1279650","Fig Bread With Nuts 400g","53",".49","Tom. 10:00 AM","","200g - Pack size Approx. 200-300g","","",""
"","","","https://www.carrefouruae.com/mafuae/en/french-cheese/ria-roule-pineapple/p/1910785","Rians Le Roule Pineapple","16",".90","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/french-cheese/crf-comte-aop-cheese-250g/p/1426594","Carrefour Extra Comte AOP Cheese 250g","100g - Approx 10 pieces/KG","47",".29","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/spread-processed-cheese/crf-plain-cheese-spread-300g-tray-/p/1873762","Carrefour Classic Plain Cheese Spread Tray 300g","17",".29","Tom. 10:00 AM","Tom. 10:00 AM","","","","https://www.carrefouruae.com/mafuae/en/western-cheese/skn-fol-epi/p/1755575","Skn Foli Cheese","47",".80","","","AED 189.16 per Kilo","AED 57.63 per Kilo","200g - Pack size Approx. 200-300g",""
"LOW PRICES","https://www.carrefouruae.com/mafuae/en/energy-milk/yopro-vanilla-milk-300ml/p/2241784","https://cdn.mafrservices.com/pim-content/UAE/media/product/2241784/1759323607/2241784_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/soft-cheese-cottage/akawi-cheesaland/p/1813605","Akawi Cheesaland","15",".60","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/soft-cheese-cottage/akawi-cheesaland/p/1813605","https://cdn.mafrservices.com/pim-content/UAE/media/product/1813605/1724763603/1813605_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/energy-milk/yopro-vanilla-milk-300ml/p/2241784","YoPro Protein Milk, Triple Zero Vanilla Flavoured High Protein Milk, Fat Free Milk, 300ml","500g","7",".29","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/brown-eggs/crf-me-egg-brown-large-x6/p/1886160","https://cdn.mafrservices.com/sys-master-root/h91/h1a/51110226395166/1886160_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/brown-eggs/crf-me-egg-brown-large-x6/p/1886160","Carrefour Fresh Brown Eggs, Large, 6 PCS","5",".49","Tom. 10:00 AM","Tom. 10:00 AM","","https://www.carrefouruae.com/mafuae/en/goat-cheese/gillot-frenchy-camembert-250g/p/1851274","https://cdn.mafrservices.com/sys-master-root/h14/h0e/49604531552286/1851274_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/goat-cheese/gillot-frenchy-camembert-250g/p/1851274","Gillot Frenchy Camembert 250g","38",".49","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","AED 24.30 per Liter","","",""
